Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
2020-09-19,Benjamin Lecomte,Matchweek 4,Away,L 1–2,Monaco,Rennes,Y,GK,90.0,3.0,2.0,1.0,0.33299999999999996,0.0,0.7,0.0,0.0,0.0,0.0,1.0,12.0,8.3,26.0,5.0,30.8,32.5,9.0,44.4,40.6,9.0,1.0,11.1,0.0,13.5
2020-09-27,Benjamin Lecomte,Matchweek 5,Home,W 3–2,Monaco,Strasbourg,Y,GK,90.0,4.0,2.0,3.0,0.75,0.0,1.5,1.0,1.0,0.0,0.0,10.0,22.0,45.5,43.0,7.0,44.2,38.7,3.0,100.0,68.3,18.0,0.0,0.0,2.0,16.4
2020-10-04,Benjamin Lecomte,Matchweek 6,Away,L 0–1,Monaco,Brest,Y,GK,90.0,4.0,1.0,3.0,0.75,0.0,1.3,0.0,0.0,0.0,0.0,7.0,12.0,58.3,36.0,4.0,30.6,30.8,3.0,33.3,36.0,6.0,1.0,16.7,2.0,17.3
2020-10-18,Benjamin Lecomte,Matchweek 7,Home,D 1–1,Monaco,Montpellier,Y,GK,90.0,2.0,1.0,1.0,0.5,0.0,0.9,0.0,0.0,0.0,0.0,5.0,6.0,83.3,21.0,6.0,28.6,32.3,2.0,0.0,20.5,2.0,0.0,0.0,3.0,25.2
2020-10-25,Benjamin Lecomte,Matchweek 8,Away,L 1–4,Monaco,Lyon,Y,GK,90.0,5.0,4.0,2.0,0.4,0.0,3.1,1.0,1.0,0.0,0.0,4.0,13.0,30.8,36.0,6.0,30.6,31.2,6.0,33.3,38.8,5.0,0.0,0.0,2.0,15.4
2020-11-01,Benjamin Lecomte,Matchweek 9,Home,W 4–0,Monaco,Bordeaux,Y,GK,90.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,63.6,30.0,3.0,30.0,33.0,3.0,66.7,53.0,3.0,0.0,0.0,2.0,18.3
2021-01-09,Benjamin Lecomte,Matchweek 19,Home,W 3–0,Monaco,Angers,Y,GK,90.0,2.0,0.0,2.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,4.0,12.0,33.3,31.0,4.0,35.5,33.1,5.0,20.0,30.2,7.0,0.0,0.0,1.0,16.3
2021-01-15,Benjamin Lecomte,Matchweek 20,Away,W 3–2,Monaco,Montpellier,Y,GK,90.0,3.0,2.0,1.0,0.33299999999999996,0.0,1.2,0.0,0.0,0.0,0.0,9.0,31.0,29.0,30.0,2.0,73.3,49.9,9.0,100.0,65.8,7.0,0.0,0.0,0.0,16.6
2021-01-23,Benjamin Lecomte,Matchweek 21,Home,W 3–1,Monaco,Marseille,Y,GK,90.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.0,17.0,23.5,26.0,3.0,50.0,40.7,8.0,50.0,41.6,5.0,0.0,0.0,1.0,15.8
2021-01-31,Benjamin Lecomte,Matchweek 22,Away,W 2–1,Monaco,Nantes,Y,GK,90.0,3.0,1.0,2.0,0.667,0.0,0.8,0.0,0.0,0.0,0.0,2.0,3.0,66.7,28.0,4.0,10.7,22.5,5.0,0.0,12.6,7.0,0.0,0.0,0.0,15.7
2021-02-03,Benjamin Lecomte,Matchweek 23,Home,W 2–1,Monaco,Nice,Y,GK,90.0,2.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,8.0,15.0,53.3,24.0,3.0,50.0,37.9,8.0,37.5,34.5,8.0,1.0,12.5,0.0,20.5
2021-02-07,Benjamin Lecomte,Matchweek 24,Away,W 4–3,Monaco,Nîmes,Y,GK,90.0,3.0,3.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,6.0,12.0,50.0,28.0,4.0,32.1,33.6,5.0,60.0,52.4,9.0,1.0,11.1,2.0,32.0
2020-08-22,Edouard Mendy,Matchweek 1,Away,D 1–1,Rennes,Lille,Y,GK,90,1,1,0,0.0,0,0.6,0,0,0,0,7,12,58.3,23,2,43.5,37.9,6,33.3,35.2,6,1,16.7,0,10.0
2020-10-25,Dimitry Bertaud,Matchweek 8,Home,L 0–4,Montpellier,Reims,N,GK,45,4,1,4,1.000,0,1.8,1,1,0,0,7,15,46.7,17,2,70.6,47.4,3,100.0,68.0,4,0,0.0,0,18.0
2020-11-01,Dimitry Bertaud,Matchweek 9,Away,W 1–0,Montpellier,Saint-Étienne,Y,GK,90,0,0,0,,1,0.0,0,0,0,0,21,28,75.0,32,6,65.6,45.1,8,87.5,57.4,9,2,22.2,0,12.9
2020-11-07,Dimitry Bertaud,Matchweek 10,Away,W 2–0,Montpellier,Bordeaux,Y,GK,90,1,0,1,1.000,1,0.1,0,0,0,0,8,18,44.4,21,5,52.4,41.2,9,77.8,60.9,6,0,0.0,0,9.7
2021-01-22,Dimitry Bertaud,Matchweek 21,Away,L 0–4,Montpellier,Paris S-G,N,GK,70,8,4,3,.500,0,4.3,0,0,0,0,13,24,54.2,16,3,81.3,53.9,12,91.7,58.9,10,2,20.0,0,6.4
2021-01-30,Dimitry Bertaud,Matchweek 22,Home,L 1–2,Montpellier,Lens,Y,GK,90,2,2,0,.000,0,1.0,0,0,0,0,4,11,36.4,23,0,39.1,39.7,5,40.0,44.4,3,0,0.0,0,12.0
2021-02-03,Dimitry Bertaud,Matchweek 23,Away,D 1–1,Montpellier,Metz,Y,GK,90,6,1,5,.833,0,0.4,0,0,0,0,13,16,81.3,27,5,44.4,36.1,10,40.0,46.2,12,1,8.3,1,21.3
2020-09-12,Bingourou Kamara,Matchweek 3,Away,L 0–2,Strasbourg,Saint-Étienne,Y,GK,90,3,2,2,.667,0,2.1,1,1,0,0,4,20,20.0,25,6,52.0,46.5,8,87.5,62.5,8,0,0.0,0,13.3
2020-09-20,Bingourou Kamara,Matchweek 4,Home,W 1–0,Strasbourg,Dijon,Y,GK,90,2,0,2,1.000,1,0.5,0,0,0,0,3,8,37.5,25,4,28.0,30.7,2,50.0,50.0,7,0,0.0,0,10.0
2020-09-27,Bingourou Kamara,Matchweek 5,Away,L 2–3,Strasbourg,Monaco,Y,GK,90,5,3,2,.400,0,1.7,0,0,0,0,4,11,36.4,18,4,38.9,33.9,6,66.7,50.3,7,0,0.0,0,12.3
2020-10-04,Bingourou Kamara,Matchweek 6,Home,L 0–3,Strasbourg,Lille,Y,GK,90,6,3,3,.500,0,1.2,0,0,0,0,9,18,50.0,20,6,60.0,42.0,7,85.7,57.6,2,0,0.0,0,11.6
2020-10-18,Bingourou Kamara,Matchweek 7,Home,L 2–3,Strasbourg,Lyon,Y,GK,90,6,3,3,.500,0,2.4,0,0,0,0,13,20,65.0,31,10,45.2,36.8,6,100.0,63.3,3,0,0.0,0,13.7
2020-10-25,Bingourou Kamara,Matchweek 8,Away,W 3–0,Strasbourg,Brest,Y,GK,90,4,0,4,1.000,1,0.6,0,0,0,0,15,33,45.5,26,3,65.4,49.0,16,100.0,65.1,20,1,5.0,0,12.8
2020-11-01,Bingourou Kamara,Matchweek 9,Away,L 1–2,Strasbourg,Reims,Y,GK,90,4,2,3,.500,0,0.9,0,0,0,0,5,11,45.5,17,6,29.4,28.6,8,75.0,57.6,7,1,14.3,0,13.2
2020-11-06,Bingourou Kamara,Matchweek 10,Home,L 0–1,Strasbourg,Marseille,Y,GK,90,1,1,0,.000,0,0.3,0,0,0,0,10,21,47.6,29,4,62.1,42.3,3,100.0,57.7,4,1,25.0,1,17.8
2020-09-13,Lois Diony,Matchweek 3,Home,W 1–0,Angers,Reims,N,FW,13,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-20,Lois Diony,Matchweek 4,Away,L 1–4,Angers,Montpellier,N,"FW,CM",17,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-27,Lois Diony,Matchweek 5,Home,W 3–2,Angers,Brest,N,FW,20,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-02,Lois Diony,Matchweek 6,Away,L 1–6,Angers,Paris S-G,N,FW,23,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,Lois Diony,Matchweek 7,Home,D 1–1,Angers,Metz,Y,FW,75,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-23,Lois Diony,Matchweek 8,Away,W 2–1,Angers,Rennes,N,FW,11,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,Lois Diony,Matchweek 9,Home,L 0–3,Angers,Nice,Y,FW,66,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,Lois Diony,Matchweek 10,Away,W 5–1,Angers,Nîmes,N,FW,22,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,Lois Diony,Matchweek 11,Home,L 0–1,Angers,Lyon,N,FW,23,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,Lois Diony,Matchweek 12,Away,W 3–1,Angers,Lens,N,FW,23,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,Lois Diony,Matchweek 13,Home,W 2–0,Angers,Lorient,N,FW,7,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11,Lois Diony,Matchweek 14,Away,D 0–0,Angers,Saint-Étienne,N,FW,17,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16,Lois Diony,Matchweek 15,Home,L 0–2,Angers,Strasbourg,N,FW,28,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,Lois Diony,Matchweek 16,Away,D 1–1,Angers,Nantes,Y,FW,64,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,Lois Diony,Matchweek 17,Home,W 2–1,Angers,Marseille,Y,FW,78,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,Lois Diony,Matchweek 18,Away,W 2–1,Angers,Lille,Y,FW,71,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,Lois Diony,Matchweek 19,Away,L 0–3,Angers,Monaco,Y,FW,55,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,Lois Diony,Matchweek 20,Home,L 0–1,Angers,Paris S-G,Y,FW,60,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,Lois Diony,Matchweek 21,Away,L 1–2,Angers,Bordeaux,N,FW,25,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,Lois Diony,Matchweek 22,Home,W 3–1,Angers,Nîmes,Y,FW,79,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,Lois Diony,Matchweek 23,Away,D 0–0,Angers,Reims,Y,FW,70,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,Lois Diony,Matchweek 24,Away,L 0–3,Angers,Nice,Y,FW,74,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-21,Alban Lafont,Matchweek 1,Away,D 0–0,Nantes,Bordeaux,Y,GK,90,1,0,1,1.0,1,0.0,0,0,0,0,1,4,25.0,19,2,21.1,27.6,7,0.0,22.6,5,0,0.0,1,29.0
2020-08-30,Alban Lafont,Matchweek 2,Home,W 2–1,Nantes,Nîmes,Y,GK,90,8,1,7,0.875,0,1.5,0,0,0,0,6,25,24.0,23,5,73.9,58.4,8,100.0,64.0,17,2,11.8,0,10.3
2020-09-13,Alban Lafont,Matchweek 3,Away,L 1–2,Nantes,Monaco,Y,GK,90,5,2,3,0.6,0,1.6,0,0,0,0,5,15,33.3,32,10,28.1,31.9,12,50.0,40.2,9,0,0.0,3,17.4
2020-09-20,Alban Lafont,Matchweek 4,Home,D 2–2,Nantes,Saint-Étienne,Y,GK,90,3,2,1,0.33299999999999996,0,1.3,0,0,0,0,3,7,42.9,13,3,53.8,40.0,3,0.0,19.7,2,1,50.0,0,20.3
2020-09-25,Alban Lafont,Matchweek 5,Away,L 0–2,Nantes,Lille,Y,GK,90,3,2,3,0.667,0,1.5,1,1,0,0,5,13,38.5,19,4,52.6,45.3,5,60.0,44.8,4,0,0.0,0,14.5
2020-10-03,Alban Lafont,Matchweek 6,Away,L 1–2,Nantes,Nice,Y,GK,90,9,2,7,0.778,0,3.5,0,0,0,0,7,27,25.9,28,8,57.1,47.3,12,91.7,59.9,16,2,12.5,0,9.6
2020-10-18,Alban Lafont,Matchweek 7,Home,W 3–1,Nantes,Brest,Y,GK,90,5,1,4,0.8,0,1.2,0,0,0,0,8,28,28.6,23,2,69.6,56.4,12,100.0,66.7,11,0,0.0,0,6.0
2020-11-25,Alban Lafont,Matchweek 8,Away,D 1–1,Nantes,Lens,Y,GK,90,1,1,0,0.0,0,0.5,0,0,0,0,6,21,28.6,30,6,50.0,40.8,6,100.0,67.8,5,1,20.0,1,11.9
