Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
2020-12-22,Sergio Asenjo,Matchweek 15,Home,D 1–1,Villarreal,Athletic Club,Y,GK,90,3,1,2,0.667,0,0.2,0,0,0,0,9,15,60.0,28,5,39.3,34.6,11,36.4,41.5,11,1,9.1,1,14.2
2020-12-29,Sergio Asenjo,Matchweek 16,Away,L 0–2,Villarreal,Sevilla,Y,GK,90,2,2,1,0.5,0,1.6,1,1,0,0,4,12,33.3,26,6,34.6,34.3,6,50.0,44.2,13,0,0.0,0,15.3
2021-01-02,Sergio Asenjo,Matchweek 17,Home,W 2–1,Villarreal,Levante,Y,GK,90,2,1,1,0.5,0,1.1,0,0,0,0,8,22,36.4,28,3,50.0,42.6,11,72.7,57.7,14,0,0.0,1,14.3
2021-01-08,Sergio Asenjo,Matchweek 18,Away,W 4–0,Villarreal,Celta Vigo,Y,GK,90,3,0,3,1.0,1,0.3,0,0,0,0,9,13,69.2,23,2,43.5,38.8,4,75.0,52.8,13,1,7.7,0,13.0
2021-01-20,Sergio Asenjo,Matchweek 19,Home,D 2–2,Villarreal,Granada,Y,GK,90,2,2,0,0.0,0,0.8,0,0,0,0,5,11,45.5,20,2,45.0,36.1,8,25.0,32.3,5,1,20.0,0,
2021-01-23,Sergio Asenjo,Matchweek 20,Away,D 0–0,Villarreal,Huesca,Y,GK,90,1,0,1,1.0,1,0.1,0,0,0,0,2,7,28.6,19,5,31.6,34.6,4,25.0,27.3,8,0,0.0,0,14.8
2021-01-30,Sergio Asenjo,Matchweek 21,Home,D 1–1,Villarreal,Real Sociedad,Y,GK,90,3,1,2,0.667,0,0.5,0,0,0,0,7,18,38.9,21,5,42.9,37.5,11,81.8,56.2,10,0,0.0,0,11.4
2021-02-06,Sergio Asenjo,Matchweek 22,Away,D 2–2,Villarreal,Elche,Y,GK,90,2,2,0,0.0,0,1.8,0,0,0,0,6,7,85.7,39,10,12.8,29.2,7,28.6,31.7,23,7,30.4,0,13.0
2020-09-13,Aitor Fernández,Matchweek 1,Away,L 2–4,Levante,Valencia,Y,GK,90.0,8.0,4.0,3.0,0.5,0.0,3.4,0.0,0.0,0.0,0.0,3.0,9.0,33.3,20.0,6.0,35.0,33.8,7.0,28.6,27.1,8.0,0.0,0.0,0.0,13.3
2020-09-27,Aitor Fernández,Matchweek 3,Away,W 3–1,Levante,Osasuna,Y,GK,90.0,3.0,1.0,2.0,0.667,0.0,0.2,0.0,0.0,0.0,0.0,2.0,17.0,11.8,17.0,2.0,76.5,53.1,9.0,44.4,31.4,7.0,1.0,14.3,2.0,13.8
2020-10-01,Aitor Fernández,Matchweek 4,Away,L 0–1,Levante,Sevilla,Y,GK,90.0,2.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,7.0,20.0,35.0,20.0,3.0,75.0,45.0,15.0,33.3,26.9,9.0,0.0,0.0,0.0,14.0
2020-10-04,Aitor Fernández,Matchweek 5,Home,L 0–2,Levante,Real Madrid,Y,GK,90.0,3.0,2.0,1.0,0.33299999999999996,0.0,1.4,0.0,0.0,0.0,0.0,3.0,8.0,37.5,29.0,6.0,20.7,28.2,11.0,18.2,26.5,11.0,1.0,9.1,1.0,10.8
2020-10-26,Aitor Fernández,Matchweek 7,Home,D 1–1,Levante,Celta Vigo,Y,GK,90.0,3.0,1.0,2.0,0.667,0.0,1.2,0.0,0.0,0.0,0.0,5.0,11.0,45.5,14.0,5.0,64.3,42.9,4.0,50.0,47.8,11.0,1.0,9.1,0.0,14.0
2020-11-01,Aitor Fernández,Matchweek 8,Away,D 1–1,Levante,Granada,Y,GK,90.0,2.0,1.0,1.0,0.5,0.0,0.7,0.0,0.0,0.0,0.0,1.0,2.0,50.0,15.0,4.0,13.3,28.8,5.0,0.0,19.0,2.0,0.0,0.0,2.0,25.3
2020-11-08,Aitor Fernández,Matchweek 9,Home,D 1–1,Levante,Alavés,Y,GK,90.0,2.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,19.0,7.0,31.6,33.7,2.0,50.0,31.0,2.0,0.0,0.0,1.0,16.3
2020-11-21,Aitor Fernández,Matchweek 10,Home,D 1–1,Levante,Elche,Y,GK,90.0,5.0,1.0,4.0,0.8,0.0,1.3,0.0,0.0,0.0,0.0,1.0,8.0,12.5,28.0,9.0,17.9,30.0,4.0,75.0,56.5,9.0,0.0,0.0,1.0,14.1
2020-12-05,Aitor Fernández,Matchweek 12,Home,W 3–0,Levante,Getafe,Y,GK,90.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,57.1,25.0,5.0,28.0,32.3,7.0,0.0,17.1,11.0,1.0,9.1,0.0,21.0
2020-12-13,Aitor Fernández,Matchweek 13,Away,L 0–1,Levante,Barcelona,Y,GK,90.0,13.0,1.0,12.0,0.9229999999999999,0.0,2.7,0.0,0.0,0.0,0.0,11.0,19.0,57.9,29.0,7.0,62.1,41.3,11.0,9.1,23.7,12.0,1.0,8.3,3.0,24.2
2020-12-19,Aitor Fernández,Matchweek 14,Home,W 2–1,Levante,Real Sociedad,Y,GK,90.0,5.0,1.0,4.0,0.8,0.0,1.2,0.0,0.0,0.0,0.0,6.0,15.0,40.0,34.0,11.0,35.3,38.1,10.0,30.0,31.3,17.0,1.0,5.9,1.0,15.5
