Name,Position,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10
Mauro Icardi,FW,Edinson Cavani,Patrick Bamford,Paco Alcácer,Terem Moffi,Kevin Lasagna,Gianluca Lapadula,Arkadiusz Milik,Simone Zaza,Erling Haaland,Hwang Ui-jo
Alexander Djiku,CB,Gleison Bremer,Mattia Bani,Jorge Pulido,Paweł Dawidowicz,Willy Boly,Diego Llorente,Yunis Abdelhamid,Maxence Lacroix,Pape Abou Cisse,Timothée Kolodziejczak
Lucas Deaux,MF,Jaime Seoane,Lukas Lerager,Habib Maïga,James McArthur,Yangel Herrera,Tomás Rincón,Bryan Dabo,Sander Berge,Christian Gentner,Tiemoué Bakayoko
Mateo Pavlović,CB,Stefan Mitrović,Daniel Congré,Miloš Veljković,Cristián Zapata,Ivan Radovanović,Jorge Meré,Gonzalo Verdú,Djené,Federico Fernández,Gabriel Paulista
Mounir Chouiar,AM,Alberto Perea,Fabián Orellana,Nathan Redmond,Gonçalo Guedes,David Ferreiro,Eric Junior Dina Ebimbe,Ander Barrenetxea,Aitor Ruibal,Alex Iwobi,Bryan
Ludovic Ajorque,FW,Arkadiusz Milik,Habib Diallo,Jorge Molina,Che Adams,Alexandre Lacazette,Ollie Watkins,Christian Benteke,Lucas Höler,Sasa Kalajdzic,Steve Mounié
Jimmy Cabot,AM,Alexis Saelemaekers,Aitor Ruibal,Andros Townsend,Alex Iwobi,Mikkel Damsgaard,Fabián Orellana,Alberto Perea,Daniel Caligiuri,Eric Junior Dina Ebimbe,Nathan Redmond
Nathanael Mbuku,AM,Takashi Inui,Miguel Almirón,Bobby Reid,Pablo Fornals,Jóhann Berg Guðmundsson,Yunus Musah,Eric Junior Dina Ebimbe,Édgar Méndez,Luis Rioja,Ritsu Doan
Jonas Martin,MF,Christoph Kramer,Didier Ibrahim Ndong,Walace,Morgan Schneiderlin,Haris Belkebla,Iván Marcone,Boubacar Kamara,Paul Lasne,Nemanja Matić,Jorginho
Abdul Majeed Waris,AM,Stephy Mavididi,Takashi Inui,Gervinho,Jeremie Boga,José Luis Morales,Yunus Musah,Roberto Pereyra,Eric Junior Dina Ebimbe,Emmanuel Gyasi,Steven Bergwijn
Charles Abi,FW,Sergi Guardiola,Lucas Boyé,Mama Samba Baldé,Callum Wilson,Habib Diallo,Antonio Sanabria,Santi Mina,Roger Martí,Anthony Lozano,Oliver Burke
Ibrahima Niane,FW,Lucas Alario,Sehrou Guirassy,Jean-Philippe Mateta,Fabio Quagliarella,Felipe Caicedo,Patrik Schick,Dušan Vlahović,Kike,Mama Samba Baldé,Dominic Calvert-Lewin
Gaëtan Paquiez,FB,Anderson Lucoqui,Joel Ward,Bartosz Bereszyński,Fouad Chafik,Jérôme Hergault,Damián Suárez,Hiroki Sakai,Nacho Vidal,Ben Davies,Cédric Brunner
Jason Denayer,CB,Bram Nuytinck,Luca Marrone,Conor Coady,Fikayo Tomori,Robson Bambu,Stefan Savić,Hugo Guillamón,Ivan Radovanović,Simone Iacoponi,Vladimir Golemić
El Bilal Touré,FW,Stefano Okaka,Santi Mina,Josh Sargent,Oliver McBurnie,Lucas Boyé,Raúl García,Sergi Guardiola,Lois Diony,Fabian Klos,Mama Samba Baldé
Jean-Eudes Aholou,MF,Okay Yokuşlu,Kevin Möhwald,Declan Rice,Lamine Fomba,Nicolas Höfler,Tomás Rincón,Lucas Torró,Ibrahim Amadou,Mahdi Camara,Grischa Prömel
Andrew Gravillon,CB,Amos Pieper,Ben Godfrey,Jawad El Yamiq,Jan Bednarek,Tyrone Mings,Jack Robinson,Florian Lejeune,Toby Alderweireld,Yeray Álvarez,Ömer Toprak
Kévin Monnet-Paquet,AM,Renaud Ripart,Marc Cucurella,Allan Nyom,Yunus Musah,Josh Brownhill,Salvi,Bobby Reid,Matt Phillips,Édgar Méndez,Luis Rioja
Adrian Grbić,FW,Sebastian Andersson,Rafa Mir,Anthony Lozano,Jonathan Calleri,Ante Budimir,Roberto Soldado,Mama Samba Baldé,Dominic Calvert-Lewin,Ángel Rodríguez,Luuk de Jong
Yuto Nagatomo,FB,Mikel Balenziaga,Thomas Foket,Joel Ward,Antonio Barragán,Ximo Navarro,Carlos Neva,Juan Cruz Armada,Mitchell Dijks,Vincent Manceau,Loris Benito
Angelo Fulgini,MF,Houssem Aouar,Piotr Zieliński,Sergio Canales,Nadiem Amiri,İlkay Gündoğan,David Silva,Rodrigo De Paul,Florian Wirtz,Mason Mount,Luis Alberto
Angelo Fulgini,AM,Suso,Iker Muniain,Diego Farias,Ross Barkley,Piotr Zieliński,Sergio Canales,Jack Grealish,Jonathan Bamba,Jeremy Doku,Martin Ødegaard
Lois Diony,FW,Ángel Rodríguez,Oliver Burke,Sergi Guardiola,Stefano Okaka,Dani Gómez,Iñaki Williams,Anthony Lozano,Maxi Gómez,Asier Villalibre,Jaime Mata
Enock Kwateng,FB,Antonee Robinson,Jorge Miramón,Ola Aina,Youssouf Sabaly,Takehiro Tomiyasu,Hassane Kamara,Alex Sandro,Elseid Hysaj,Fouad Chafik,Muzinga Ngonda
Mamadou Fofana,CB,Alessandro Tuia,Unai García,Pablo Insua,Dylan Bronn,Ragnar Klavan,Jérémy Morel,Sebastiano Luperto,Luca Marrone,Vladimir Golemić,Wesley Hoedt
Mamadou Fofana,MF,Iván Marcone,Carlos Gruezo,Adrián Cubas,Haris Belkebla,Isaac Hayden,Tomás Pina Isla,Fede San Emeterio,Marshall Munetsi,Yan Brice Eteki,Sergio Álvarez
Djibril Sidibé,FB,Miguel Trauco,Alex Telles,Elseid Hysaj,Danilo,Kieran Trippier,Bastian Oczipka,Matt Targett,Christopher Trimmel,Jorge Miramón,Loris Benito
Sergio Agüero,FW,Antoine Griezmann,Ciro Immobile,Borja Mayoral,Timo Werner,Jonathan David,Jhon Córdoba,Gabriel Jesus,Neal Maupay,Burak Yılmaz,Anthony Martial
Arnaud Souquet,FB,Fábio,Tyrick Mitchell,Phillipp Mwene,Sacha Boey,Alejandro Pozo Pozo,Gaetano Letizia,Dennis Appiah,Mihailo Ristić,Anthony Caci,Stefan Lainer
Alban Lafont,GK,Aaron Ramsdale,Jean-Louis Leca,Jaume Doménech,Emil Audero,Unai Simón,Rafał Gikiewicz,Sam Johnstone,Jordan Pickford,Jordi Masip,Paul Nardi
Aurélien Tchouaméni,MF,Dominik Kohr,Wataru Endo,Xaver Schlager,Baptiste Santamaria,Adrien Rabiot,Habib Maïga,Pierre Lees-Melou,Casemiro,Stuart Dallas,Mahdi Camara
Stéphane Bahoken,FW,Kevin Lasagna,Giovanni Simeone,Arkadiusz Milik,Hwang Ui-jo,Fabio Quagliarella,Jonathan David,Mama Samba Baldé,Antonio Sanabria,Irvin Cardona,Alexandre Lacazette
Martin Terrier,FW,Ángel Correa,Yussuf Poulsen,Romain Hamouma,Antoine Griezmann,Ondrej Duda,Wilfried Zaha,Neal Maupay,Jonathan David,Iago Aspas,Breel Embolo
Martin Terrier,AM,Ángel Correa,Jarrod Bowen,Gio Reyna,Portu,Kevin Volland,Daniel James,Mikel Oyarzabal,Adrien Thomasson,Theo Walcott,Son Heung-min
Massadio Haïdara,CB,Rafael Tolói,Emre Can,Bryan Cristante,Lucas Martínez Quarta,Stefan Posch,César Azpilicueta,Gianluca Mancini,Óscar Mingueza,Marvin Friedrich,Danilo D'Ambrosio
Massadio Haïdara,FB,Diogo Dalot,Birger Meling,Stefan Lainer,Nordi Mukiele,Zeki Çelik,Mathieu Debuchy,Ryan Sessegnon,Hugo Mallo,Riccardo Gagliolo,Serge Aurier
Morgan Schneiderlin,MF,Christoph Kramer,Étienne Capoue,Martín Zubimendi,Didier Ibrahim Ndong,Fabinho,Boubacar Kamara,Marten de Roon,Harrison Reed,Lucas Leiva,Luka Milivojević
Thilo Kehrer,CB,Nacho,Milan Škriniar,Clément Lenglet,Fabinho,Jean-Kevin Duverne,Nikola Maksimović,Alessandro Bastoni,Francesco Acerbi,Patric,Ben White
Thilo Kehrer,FB,Loris Benito,Ryan Bertrand,Antonio Barragán,Hiroki Sakai,Joseba Zaldúa,Vincent Manceau,Luca Vignali,Yuto Nagatomo,Bartosz Bereszyński,Ben Davies
Jonathan Clauss,FB,Ridle Baku,Angeliño,Federico Dimarco,Nahuel Molina,Trent Alexander-Arnold,Robin Gosens,Filip Kostić,Theo Hernández,Darko Lazović,Ben Chilwell
Seko Fofana,MF,Giacomo Bonaventura,Florent Mollet,Roberto Pereyra,Piotr Zieliński,Sergio Canales,David Silva,Houssem Aouar,Luka Modrić,Florian Wirtz,Bernardo Silva
Sofiane Alakouch,FB,Anthony Caci,Sacha Boey,Andrea Conti,Reinildo Mandava,Dennis Appiah,Aaron Wan-Bissaka,Wendell,Johan Mojica,Jorge Miramón,Thomas Foket
Naomichi Ueda,CB,Jack Stephens,Víctor Laguardia,Néstor Araujo,Sebastiano Luperto,Sergio Postigo,Raúl Albiol,Andreas Christensen,Joseph Aidoo,Jack Robinson,Gonzalo Verdú
Mehdi Zerkane,AM,Alexis Saelemaekers,Nathanael Mbuku,Pablo Fornals,Miguel Almirón,Marc Cucurella,Ritsu Doan,Daniel Caligiuri,Samu Castillejo,Moi Gómez,Dwight McNeil
Paul Lasne,MF,Haris Belkebla,Valon Behrami,Adrián Cubas,Morgan Schneiderlin,Manuel Prietl,Walace,Harrison Reed,Thomas Delaney,Christoph Kramer,Isaac Hayden
Fabien Lemoine,MF,Pierre Højbjerg,Marten de Roon,Pape Gueye,Morgan Schneiderlin,Thomas Delaney,Guido Rodríguez,Tyler Adams,Charles Aránguiz,Ibrahim Amadou,Lucas Leiva
Trevoh Chalobah,CB,Lucas Martínez Quarta,Gianluca Mancini,Bryan Cristante,Rafael Tolói,Emre Can,Ismaël Traoré,Harold Moukoudi,Samir Santos,Óscar Mingueza,Sergio Ramos
Trevoh Chalobah,MF,Jean-Eudes Aholou,Danilo Pereira,Nicolas Höfler,Okay Yokuşlu,Tomás Rincón,Declan Rice,Tiemoué Bakayoko,Mahdi Camara,Étienne Capoue,Kevin Möhwald
Boubakar Kouyaté,CB,Mattia Bani,Giangiacomo Magnani,John Boye,Sebastiaan Bornauw,Lorenzo Tonelli,Romain Thomas,Felipe,Gleison Bremer,Pascal Struijk,Florian Lejeune
Mickaël Cuisance,MF,Eduardo Camavinga,Hicham Boudaoui,Saša Lukić,Gaetano Castrovilli,Karol Linetty,Marko Rog,Adrien Rabiot,Roque Mesa,Marcos Llorente,Nahitan Nández
Mickaël Cuisance,AM,Moi Gómez,Manu Trigueros,Miguel Almirón,Samu Castillejo,Sofiane Diop,Stuart Armstrong,Daniel Caligiuri,Eric Junior Dina Ebimbe,Nathanael Mbuku,Antonín Barák
Steven Fortes,CB,Loïc Bade,Andrea Masiello,Wesley Hoedt,Julien Laporte,Rúben Vezo,Tuta,Dominique Heintz,Luiz Felipe,Dylan Bronn,Ethan Ampadu
Predrag Rajković,GK,Florian Müller,Rafał Gikiewicz,Édgar Badía,Jasper Cillessen,Baptiste Reynet,Alexander Schwolow,Jaume Doménech,Jordan Pickford,Unai Simón,Stefan Ortega
Dimitri Payet,FW,Lucas Pérez,Iago Aspas,Franck Ribéry,Musa Barrow,Ondrej Duda,João Félix,Ángel Correa,Amine Gouiri,Wissam Ben Yedder,Alassane Pléa
Dimitri Payet,AM,James Maddison,Vincenzo Grifo,Piotr Zieliński,Papu Gómez,Florian Thauvin,Sergio Canales,Antonio Candreva,Adnan Januzaj,Jack Grealish,Hakim Ziyech
Lilian Brassier,CB,Marc-Oliver Kempf,Diego Godín,Dayot Upamecano,Takehiro Tomiyasu,Francesco Acerbi,Willi Orban,Mats Hummels,Ștefan Radu,Emre Can,Berat Djimsiti
Gaël Kakuta,AM,Lorenzo Pellegrini,Matheus Pereira,Roberto Soriano,Jack Harrison,James Rodríguez,Jean-Paul Boëtius,Franck Honorat,Hakim Ziyech,Josip Brekalo,Mason Mount
Lionel Carole,FB,Miguel Trauco,Djibril Sidibé,Reinildo Mandava,Matt Targett,Luca Vignali,Ben Davies,Hiroki Sakai,Anthony Caci,Joseba Zaldúa,Joël Veltman
Karl Toko Ekambi,AM,Nicolas Pépé,Sadio Mané,Leon Bailey,Harvey Barnes,Amine Gouiri,Marcus Rashford,Mohamed Salah,Diogo Jota,Raheem Sterling,Ferrán Torres
Adrien Truffert,FB,Romain Perraud,Rayan Aït Nouri,Sergio Reguilón,Giorgos Kiriakopoulos,Timothy Castagne,Cédric Soares,Yuri Berchiche,Rogério,Héctor Bellerín,Dani Carvajal
Roger Assalé,FW,Goran Pandev,Wilfried Zaha,Roger Martí,José Luis Morales,Dani Gómez,Romain Hamouma,Jordan Ayew,Ondrej Duda,Neal Maupay,Randal Kolo Muani
Roger Assalé,AM,Stephy Mavididi,Jonathan Ikone,Emmanuel Gyasi,Gervinho,Portu,Gonçalo Guedes,Theo Walcott,José Luis Morales,Jarrod Bowen,Daniel Podence
Frederic Guilbert,FB,Paulo Otávio,Maximilian Mittelstädt,Diogo Dalot,Matthieu Udol,Ryan Sessegnon,Christopher Lenz,Mathieu Debuchy,Serge Aurier,Zeki Çelik,Luke Thomas
Dario Maresic,CB,Robson Bambu,Dominique Heintz,Stefan Savić,Hugo Guillamón,Rúben Vezo,Presnel Kimpembe,Andrea Masiello,Bram Nuytinck,Steven Fortes,Jorge Meré
Irvin Cardona,FW,Kevin Lasagna,Fabio Quagliarella,Mama Samba Baldé,Stéphane Bahoken,Asier Villalibre,Ángel Rodríguez,Neal Maupay,Habib Diallo,Richarlison,Sehrou Guirassy
Baptiste Santamaria,MF,Dominik Kohr,Yangel Herrera,Mikel Vesga,Danny Latza,Xaver Schlager,Leandro Barreiro Martins,Conor Gallagher,Aurélien Tchouaméni,Habib Maïga,Andre-Frank Zambo Anguissa
Matteo Ahlinvi,MF,Hicham Boudaoui,Tolgay Arslan,Jaime Seoane,Karol Linetty,Conor Gallagher,Fran Beltrán,Giulio Maggiore,Saša Lukić,Brais Méndez,Morten Thorsby
Harold Moukoudi,CB,Martin Erlic,Ismaël Traoré,Alessio Romagnoli,Éder Militão,Leonardo Balerdi,Alexander Djiku,Lisandro Magallán,Pedro Mendes,Marash Kumbulla,Yunis Abdelhamid
Moses Simon,AM,Yoane Wissa,Riccardo Orsolini,Antonio Puertas,Dodi Lukebakio,Jarrod Bowen,Richarlison,Bukayo Saka,Marcus Thuram,Darwin Machís,Daniel James
Thibault De Smet,FB,Reinildo Mandava,Matt Targett,Matt Doherty,Joseba Zaldúa,Carlos Clerc,Fábio,Hugo Mallo,Bartosz Bereszyński,Daley Sinkgraven,Ben Davies
Gerzino Nyamsi,CB,Axel Disasi,Raphaël Varane,Damien Da Silva,Nayef Aguerd,Guillermo Maripán,José Fonte,Çağlar Söyüncü,Marcelo,Milan Škriniar,Stefan de Vrij
Stanley N'Soki,CB,Waldemar Anton,Mario Hermoso,Facundo Medina,Dayot Upamecano,Marc-Oliver Kempf,Roger Ibanez,Kalidou Koulibaly,Wesley Fofana,Edmond Tapsoba,Francesco Acerbi
Ludovic Blas,AM,Samu Castillejo,Ruben Vargas,Sofiane Diop,Daniel James,Hamed Junior Traorè,Ayoze Pérez,Eric Junior Dina Ebimbe,Álex Berenguer,Ritsu Doan,Lucas Moura
Ismaëlben Boura,FB,Johan Mojica,Souleyman Doumbia,Vincent Le Goff,Noah Katterbach,Carlos Clerc,Luca Vignali,Reinildo Mandava,Sead Kolašinac,Fouad Chafik,Anthony Caci
Álvaro Negredo,FW,Jorge Molina,Maxi Gómez,Habib Diallo,Anthony Lozano,Chris Wood,Darío Benedetto,Andreas Cornelius,João Pedro,Roger Martí,Florian Niederlechner
Moussa Doumbia,AM,Roberto Pereyra,Suso,Alex Iwobi,Gonçalo Guedes,Eberechi Eze,Jonathan Bamba,Alexis Saelemaekers,Diego Farias,Jeremie Boga,Rony Lopes
Ronaël Pierre-Gabriel,FB,Ghislain Konan,Fouad Chafik,Jordan Lotomba,Hiroki Sakai,Ryan Bertrand,Mitchell Dijks,Kyle Walker,Bartosz Bereszyński,Jérôme Hergault,Aihen Muñoz
Kevin Volland,FW,Che Adams,Sasa Kalajdzic,Callum Wilson,Roger Martí,Alexandre Lacazette,Wout Weghorst,Jonathan David,Pierre-Emerick Aubameyang,Eldor Shomurodov,Andrea Belotti
Kevin Volland,AM,Gaëtan Laborde,Portu,Pierre-Emerick Aubameyang,Ante Rebić,Son Heung-min,Timo Werner,José Luis Morales,João Pedro,Roland Sallai,Martin Terrier
Habib Diallo,FW,João Pedro,Willian José,Jorge Molina,Jaime Mata,Krzysztof Piątek,Ludovic Ajorque,Asier Villalibre,Álvaro Negredo,Antonio Sanabria,Roger Martí
Habib Diallo,AM,João Pedro,José Luis Morales,Anwar El Ghazi,Pierre-Emerick Aubameyang,Portu,Yoane Wissa,Gaëtan Laborde,Roland Sallai,Richarlison,Kevin Volland
Etienne Green,GK,Jasper Cillessen,Jan Oblak,Łukasz Fabiański,Mike Maignan,Unai Simón,Emiliano Martínez,Jaume Doménech,Predrag Rajković,Pierluigi Gollini,Eiji Kawashima
Pedro Mendes,CB,Luca Caldirola,Marash Kumbulla,Nicolas Pallois,Daniel Congré,Senou Coulibaly,Kevin Bonifazi,Philipp Lienhart,Joaquín Fernández,Jean-Charles Castelletto,Yunis Abdelhamid
Yannick Cahuzac,MF,Rani Khedira,Jack Cork,Tobias Strobl,Papakouli Diop,Vicente Iborra,Tomás Pina Isla,Dani García,Rodrigo Battaglia,Ibrahim Amadou,Moussa Sissoko
Senou Coulibaly,CB,Jonathan Panzo,Ömer Toprak,Wout Faes,Fikayo Tomori,Dani Calvo,Daniel Congré,Ivan Radovanović,Bruno González,Pedro Mendes,Nicolas Nkoulou
Pedro Chirivella,MF,Jacopo Petriccione,Tobias Strobl,Victorien Angban,Romaine Sawyers,Dani García,Tom Davies,Oliver Norwood,Jack Cork,Matteo Ricci,Didier Ibrahim Ndong
Neymar,FW,Paulo Dybala,Alexis Sánchez,Lionel Messi,Luis Muriel,Kylian Mbappé,Timo Werner,Gabriel Jesus,Memphis Depay,Roberto Firmino,Dries Mertens
Neymar,AM,Lionel Messi,Ousmane Dembélé,Ruslan Malinovskyi,Riyad Mahrez,Jadon Sancho,Kingsley Coman,Kylian Mbappé,Ángel Di María,Leroy Sané,Lorenzo Insigne
Youcef Attal,FB,João Cancelo,Theo Hernández,Ruben Aguilar,Maxwel Cornet,Pervis Estupiñán,Ezgjan Alioski,Juan Cuadrado,Layvin Kurzawa,Simone Bastoni,Thomas Meunier
Ghislain Konan,FB,Fouad Chafik,Ronaël Pierre-Gabriel,Bastian Oczipka,Mert Müldür,Ander Capa,Jérôme Hergault,Muzinga Ngonda,Mihailo Ristić,Youssouf Sabaly,Hassane Kamara
Téji Savanier,MF,Mason Mount,Lucas Paquetá,Lorenzo Pellegrini,Kerem Demirbay,Nicolò Barella,Mikel Merino,Marcel Sabitzer,Dimitri Liénard,Giacomo Bonaventura,Joshua Kimmich
Téji Savanier,AM,Rubén Rochina,Gaël Kakuta,Romain Faivre,Lorenzo Pellegrini,Jean-Paul Boëtius,Mikkel Damsgaard,Daniel Caligiuri,Ridle Baku,Farid Boulaya,Matheus Pereira
Sacha Boey,FB,Fábio,Thierry Correia,Dennis Appiah,Reinildo Mandava,Kingsley Ehizibue,Mihailo Ristić,Anthony Caci,Sofiane Alakouch,Hiroki Sakai,Enda Stevens
Sinaly Diomande,CB,Konstantinos Mavropanos,Romain Saïss,Mats Hummels,Harry Maguire,Unai Núñez,Nathaniel Phillips,Wesley Fofana,John Brooks,Pape Abou Cisse,Shkodran Mustafi
Romain Perraud,FB,Adrien Truffert,Ryan Sessegnon,Ezgjan Alioski,Cédric Soares,James Justin,Zeki Çelik,Rayan Aït Nouri,Marcos Acuña,Diogo Dalot,Maxwel Cornet
Wesley Lautoa,MF,Morgan Schneiderlin,Iván Marcone,Romaine Sawyers,Dani García,Isaac Hayden,Étienne Capoue,Marshall Munetsi,Luka Milivojević,Pedro Mosquera,Tom Davies
Morgan Sanson,MF,Xaver Schlager,Elvis Rexhbeçaj,Marcos Llorente,Giulio Maggiore,Imran Louza,Gaetano Castrovilli,Miha Zajc,Hicham Boudaoui,Conor Gallagher,Danny Latza
Facundo Medina,CB,Marc-Oliver Kempf,Mario Hermoso,Kalidou Koulibaly,Edmond Tapsoba,Luiz Felipe,Jean-Clair Todibo,Clément Lenglet,Tuta,Niklas Moisander,Roger Ibanez
Enzo Le Fée,MF,Dimitri Liénard,Marcos Llorente,Danny Latza,Gylfi Sigurðsson,Gaetano Castrovilli,Jude Bellingham,Rafinha,Téji Savanier,Yacine Adli,Tanguy Ndombele
Enzo Le Fée,AM,Andros Townsend,Alexis Saelemaekers,Denis Suárez,Gylfi Sigurðsson,Stuart Armstrong,Jean-Paul Boëtius,Mikkel Damsgaard,Dwight McNeil,Daniel Caligiuri,Ridle Baku
Myziane Maolida,AM,Daniel Podence,Gervinho,Leandro Trossard,Brahim Díaz,Jonathan Ikone,Portu,Rony Lopes,Pedro,José Luis Morales,Dodi Lukebakio
Birger Meling,FB,Ryan Sessegnon,Stefan Lainer,Massadio Haïdara,Timothy Castagne,Diogo Dalot,Zeki Çelik,Luke Thomas,Aaron Wan-Bissaka,Matthieu Udol,Gabriele Zappa
Pape Gueye,MF,Mickael Malsa,Oriol Romeu,Tyler Adams,Luka Milivojević,Fabien Lemoine,Wataru Endo,Diadie Samassékou,Ellyes Skhiri,Thiago Mendes,Boubacar Kamara
Bruno Ecuele Manga,CB,Tosin Adarabioyo,Romain Thomas,Ömer Toprak,Dimitris Siovas,Felipe,Pape Abou Cisse,Manuel Gulde,Wout Faes,Florian Lejeune,Ciaran Clark
Idrissa Gana Gueye,MF,Valentin Rongier,Thiago Alcántara,Remo Freuler,N'Golo Kanté,Cheick Doucouré,Mahmoud Dahoud,Rodrigo Bentancur,Sebastian Rode,Pierre Højbjerg,Koke
Alexis Claude-Maurice,MF,Florian Wirtz,Giacomo Bonaventura,Piotr Zieliński,Junior Messias,Houssem Aouar,Marcos Llorente,Bernardo Silva,Gaetano Castrovilli,Lorenzo Pellegrini,Nadiem Amiri
Alexis Claude-Maurice,AM,Steven Bergwijn,Eric Junior Dina Ebimbe,Jonathan Ikone,Rony Lopes,Brahim Díaz,Arnaud Nordin,Daniel Podence,Stuart Armstrong,Roberto Soriano,Nathan Redmond
Vagner Gonçalves,FW,Ondrej Duda,Joelinton,Josh Sargent,José Luis Morales,Neal Maupay,Lucas Boyé,Jordan Ayew,Richarlison,Alexandre Lacazette,Junior Messias
Romain Faivre,AM,Mason Mount,Hamed Junior Traorè,Lorenzo Pellegrini,Bryan,Ademola Lookman,Luiz Araújo,Nathan Redmond,Nicola Sansone,Gaël Kakuta,Jonathan Bamba
Daniel Parejo,MF,Marcelo Brozović,Koke,Toni Kroos,Dani Ceballos,Kevin Kampl,Youri Tielemans,Joan Jordán,Remo Freuler,Ismaël Bennacer,Sergio Busquets
Hatem Ben Arfa,FW,Franck Ribéry,Lucas Pérez,João Félix,Goran Pandev,Ondrej Duda,Iago Aspas,Wilfried Zaha,Dani Gómez,Rodrigo Palacio,Romain Hamouma
Hatem Ben Arfa,AM,Suso,Sergio Canales,Angelo Fulgini,Willian,Martin Ødegaard,Jeremy Doku,Gonçalo Guedes,Eberechi Eze,Piotr Zieliński,Ross Barkley
Opa Nguette,FW,Oliver Burke,Jay Rodriguez,Dani Gómez,Joelinton,Richarlison,Enes Ünal,Callum Wilson,Sergi Guardiola,Lucas Boyé,Romain Hamouma
Julien Faussurier,FB,Pavel Kadeřábek,Leo Dubois,Christian Günter,Caio Henrique Oliveira Silva,Cristiano Biraghi,Luke Shaw,Ludwig Augustinsson,Lucas Digne,Pervis Estupiñán,Giovanni Di Lorenzo
Kenny Lala,FB,Tommaso Augello,Aaron Cresswell,Daniel Brosinski,Marvin Plattenhardt,Jesús Navas,Héctor Bellerín,Kieran Tierney,Christian Günter,Lorenzo Venuti,Andoni Gorosabel
Nicolas Pallois,CB,Yunis Abdelhamid,Ömer Toprak,Pedro Mendes,Jean-Charles Castelletto,Rafael Czichos,Kevin Bonifazi,Joaquín Fernández,Daniel Congré,Semi Ajayi,Jeffrey Gouweleeuw
Kenny Tete,FB,Christopher Lenz,Sacha Boey,Matty Cash,Dennis Appiah,Paulo Otávio,Fábio,Emerson,Maximilian Mittelstädt,Kingsley Ehizibue,Carlos Clerc
Joris Chotard,MF,Rani Khedira,Josh Brownhill,Yannick Cahuzac,Tobias Strobl,Jack Cork,Jaïro Riedewald,Jens Jønsson,Papakouli Diop,Nemanja Maksimović,Artur Ioniță
Jonathan Delaplace,FB,Nacho,Christopher Trimmel,Vladimír Coufal,Pervis Estupiñán,Álex Moreno,Miguel Trauco,Danny da Costa,Vincent Le Goff,Jérôme Roussillon,Daniel Brosinski
Saîf-Eddine Khaoui,AM,Renaud Ripart,Daniel Caligiuri,Óscar Plano,Marc Cucurella,Jean-Paul Boëtius,Ridle Baku,Andros Townsend,Pablo Fornals,Kenedy,Gylfi Sigurðsson
Pierrick Capelle,FB,Stuart Dallas,Ezgjan Alioski,Maxwel Cornet,Matteo Darmian,Pervis Estupiñán,Ruben Aguilar,Davide Zappacosta,Theo Hernández,Ridle Baku,Nordi Mukiele
Pierrick Capelle,AM,Daniel Caligiuri,Manu Trigueros,Marc Cucurella,Pablo Fornals,Josh Brownhill,Óscar Plano,Renaud Ripart,Rubén Rochina,Miguel Almirón,Jóhann Berg Guðmundsson
Florian Sotoca,FW,Yussuf Poulsen,Lucas Höler,Rodrigo Palacio,Musa Barrow,Kike,João Pedro,Sasa Kalajdzic,Neal Maupay,Che Adams,Ollie Watkins
Adama Soumaoro,CB,Nico Elvedi,Daniel Congré,Loïck Landre,Romain Thomas,John Boye,Éder Militão,Vladimir Golemić,Danilo Larangeira,Simon Kjær,Robin Knoche
Arnaud Nordin,AM,Dodi Lukebakio,Bertrand Traoré,Ferrán Torres,Yoane Wissa,Daniel Podence,Jarrod Bowen,Jonathan Ikone,Darwin Machís,Anwar El Ghazi,Steven Bergwijn
Eduardo Camavinga,MF,Valentin Rongier,Marko Rog,Bruno Guimarães,Andre-Frank Zambo Anguissa,Gonzalo Villar,Adrien Rabiot,Yvan Neyou,Mahmoud Dahoud,Roque Mesa,Mateo Kovačić
Rony Lopes,AM,Fabián Orellana,Daniel Podence,Steven Bergwijn,Bukayo Saka,Ademola Lookman,Diego Farias,Matheus Pereira,Eric Junior Dina Ebimbe,Emile Smith-Rowe,Hamed Junior Traorè
Leonardo Balerdi,CB,Yunis Abdelhamid,Diego Llorente,Liam Cooper,Pascal Struijk,Paweł Dawidowicz,Kevin Bonifazi,Harold Moukoudi,Gleison Bremer,Lorenzo Tonelli,Romain Thomas
Gaëtan Laborde,FW,Florian Sotoca,Danny Ings,Che Adams,Andrea Belotti,Lucas Höler,Kevin Volland,Álvaro Morata,Ihlas Bebou,Sasa Kalajdzic,Kike
Gaëtan Laborde,AM,Pierre-Emerick Aubameyang,Roland Sallai,Kevin Volland,Tino Kadewere,Marcus Thuram,João Pedro,Ante Rebić,Richarlison,Dodi Lukebakio,Ferrán Torres
James Lea Siliki,MF,Brais Méndez,Toma Bašić,Nahuel Estévez,Edu Expósito,Darko Brašanac,Georginio Wijnaldum,Jasmin Kurtić,Mikel Rico,Rolando Mandragora,Pascal Groß
Tino Kadewere,AM,Gaëtan Laborde,Marcus Thuram,Nicolas Pépé,Pierre-Emerick Aubameyang,Richarlison,Ante Rebić,Denis Bouanga,Ferrán Torres,Roland Sallai,Yoane Wissa
