Date,Name,League,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
20/3/21,Kevin Trapp,Bundesliga,Matchweek 26,Home,W 5–2,Eint Frankfurt,Union Berlin,Y,GK,90,6,2,4,66.7,0,2.2,0,0,0,0,7,22,31.8,32,6,43.8,38.4,10,80,63.8,17,1,5.9,0,17.2
3/4/21,Kevin Trapp,Bundesliga,Matchweek 27,Away,W 2–1,Eint Frankfurt,Dortmund,Y,GK,90,5,1,4,80,0,1.2,0,0,0,0,7,23,30.4,30,6,56.7,40.5,13,46.2,39.1,10,0,0,1,15.5
10/4/21,Kevin Trapp,Bundesliga,Matchweek 28,Home,W 4–3,Eint Frankfurt,Wolfsburg,Y,GK,90,7,3,5,57.1,0,1.3,0,0,0,0,13,25,52,25,1,72,48,12,58.3,42.6,10,0,0,0,12
17/4/21,Kevin Trapp,Bundesliga,Matchweek 29,Away,L 0–4,Eint Frankfurt,M'Gladbach,Y,GK,90,4,4,0,0,0,1.6,0,0,0,0,5,14,35.7,25,4,32,30.2,10,60,44.8,10,0,0,0,14.8
20/4/21,Kevin Trapp,Bundesliga,Matchweek 30,Home,W 2–0,Eint Frankfurt,Augsburg,Y,GK,90,4,0,4,100,1,0,1,0,0,1,3,15,20,32,5,40.6,37,8,25,32.3,9,0,0,2,18.1
24/4/21,Kevin Trapp,Bundesliga,Matchweek 31,Away,L 1–3,Eint Frankfurt,Leverkusen,Y,GK,90,9,3,6,66.7,0,3.4,0,0,0,0,12,25,48,60,6,33.3,34.1,9,55.6,45.9,8,0,0,2,14.7
9/5/21,Kevin Trapp,Bundesliga,Matchweek 32,Home,D 1–1,Eint Frankfurt,Mainz 05,Y,GK,90,3,1,2,66.7,0,0.6,0,0,0,0,1,5,20,34,6,11.8,22.5,5,20,26.4,9,1,11.1,0,14
15/5/21,Kevin Trapp,Bundesliga,Matchweek 33,Away,L 3–4,Eint Frankfurt,Schalke 04,Y,GK,90,5,4,1,20,0,3.2,1,0,1,0,1,2,50,15,2,6.7,29.6,6,16.7,26.5,1,0,0,0,20.5
6/12/20,Michael Langer,Bundesliga,Matchweek 10,Home,L 0–3,Schalke 04,Leverkusen,Y,GK,90,9,3,7,66.7,0,3.1,0,0,0,0,8,14,57.1,13,1,53.8,40.8,15,46.7,36.6,9,0,0,0,6
20/2/21,Michael Langer,Bundesliga,Matchweek 22,Home,L 0–4,Schalke 04,Dortmund,N,GK,59,5,4,1,20,0,2.7,0,0,0,0,2,8,25,12,1,41.7,38.3,3,100,65.3,3,0,0,0,9
27/2/21,Michael Langer,Bundesliga,Matchweek 23,Away,L 1–5,Schalke 04,Stuttgart,Y,GK,90,10,5,5,50,0,2.9,0,0,0,0,1,13,7.7,25,5,40,36.9,8,37.5,34.6,11,0,0,3,20.7
7/5/21,Fabian Bredlow,Bundesliga,Matchweek 32,Home,W 2–1,Stuttgart,Augsburg,Y,GK,90,9,1,8,88.9,0,2.4,0,0,0,0,2,11,18.2,27,5,37,33.1,9,11.1,27.6,17,1,5.9,0,10.3
20/9/20,Koen Casteels,Bundesliga,Matchweek 1,Home,D 0–0,Wolfsburg,Leverkusen,Y*,GK,90,3,0,3,100,1,0.5,0,0,0,0,10,27,37,41,3,56.1,43.9,5,80,59.2,11,1,9.1,0,13.7
4/10/20,Koen Casteels,Bundesliga,Matchweek 3,Home,D 0–0,Wolfsburg,Augsburg,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,4,9,44.4,28,5,25,34.1,4,50,41.5,6,2,33.3,1,17
17/10/20,Koen Casteels,Bundesliga,Matchweek 4,Away,D 1–1,Wolfsburg,M'Gladbach,Y,GK,90,1,1,1,100,0,0.4,1,1,0,0,9,23,39.1,39,6,41,36.9,9,77.8,52.7,8,2,25,0,10.7
25/10/20,Koen Casteels,Bundesliga,Matchweek 5,Home,W 2–1,Wolfsburg,Arminia,Y,GK,90,1,1,0,0,0,0.8,0,0,0,0,11,22,50,35,7,48.6,39,5,100,68.8,9,0,0,0,14.8
1/11/20,Koen Casteels,Bundesliga,Matchweek 6,Away,D 1–1,Wolfsburg,Hertha BSC,Y*,GK,90,5,1,4,80,0,1,0,0,0,0,5,13,38.5,18,5,50,37.6,9,44.4,40.8,7,0,0,0,12.2
8/11/20,Koen Casteels,Bundesliga,Matchweek 7,Home,W 2–1,Wolfsburg,Hoffenheim,Y*,GK,90,4,1,3,75,0,1.7,1,0,1,0,12,24,50,24,6,62.5,44.7,10,90,63.1,16,1,6.3,1,16.4
21/11/20,Koen Casteels,Bundesliga,Matchweek 8,Away,W 2–0,Wolfsburg,Schalke 04,Y*,GK,90,6,0,6,100,1,0.7,0,0,0,0,8,21,38.1,39,6,38.5,36.6,7,85.7,61.4,10,0,0,0,12.2
27/11/20,Koen Casteels,Bundesliga,Matchweek 9,Home,W 5–3,Wolfsburg,Werder Bremen,Y*,GK,90,4,3,2,25,0,1.5,0,0,0,0,6,7,85.7,21,5,28.6,29.2,4,25,29,6,3,50,0,17
5/12/20,Koen Casteels,Bundesliga,Matchweek 10,Away,D 2–2,Wolfsburg,Köln,Y*,GK,90,3,2,1,33.3,0,2.3,0,0,0,0,3,8,37.5,28,5,17.9,28.5,4,75,65,8,1,12.5,1,14.7
11/12/20,Koen Casteels,Bundesliga,Matchweek 11,Home,W 2–1,Wolfsburg,Eint Frankfurt,Y*,GK,90,3,1,3,100,0,1.2,1,1,0,0,8,21,38.1,41,3,43.9,39.1,3,100,66.7,8,1,12.5,1,15.8
16/12/20,Koen Casteels,Bundesliga,Matchweek 12,Away,L 1–2,Wolfsburg,Bayern Munich,Y*,GK,90,2,2,0,0,0,1.4,0,0,0,0,8,13,61.5,22,3,45.5,41.7,5,60,43.2,8,0,0,3,18.6
